participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,Det var e? ,1492669493.18368
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"I think it was ""rounder"" than a u",1492669505.68834
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,But it could also have been an I?,1492669536.42359
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"I heard it as I, but I guess we can say e. I was in little in doubt.",1492669539.96065
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Yeah you might be right. I just heard it like an u. But I'm not pretty sure. Let's go with o,1492669545.24689
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,As well.,1492669548.34984
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"It was more like; ""oohh"" - so cool",1492669554.22063
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Should we just say e?,1492669557.44475
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,o?,1492669558.5034
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,So what is the conclusion? ,1492669558.7609
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,e?,1492669564.26028
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,sure,1492669566.9648
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,sounds like e?,1492669579.23077
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"hmm, wasnt sure, but I guess it could be o",1492669586.73779
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,I feel like o,1492669591.51793
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"Haha, again!",1492669597.90934
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,I think you are right,1492669602.35539
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,ok i am not sure so we can go with o,1492669606.52458
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I am pretty sure I heard U or O.,1492669609.07671
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,I was not at all certain,1492669609.7157
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Ok. Let's try,1492669611.66598
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,ok,1492669614.38405
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,you did? :O !,1492669618.08118
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"Might be wrong, though!",1492669622.06247
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Yeah :O ,1492669625.69414
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,What are we gonna do?,1492669638.13489
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,okay do you feel very sure? (because I was in doubt) ,1492669644.89726
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,This was probably the same sound as before,1492669654.0245
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Yeah. I felt like it was e or i,1492669665.47244
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"Yeah, I am pretty sure it was not E at least. But I might be wrong. Should we try saying u and look at the feedback?",1492669668.33645
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,"may be o again, it is just really hard to hear",1492669669.9176
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Let's go with that,1492669674.93664
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,I agree it's either I or U ,1492669675.95082
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,sure (y),1492669678.52633
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,which one?,1492669681.74421
