"group","group_id","vowel","intensity","k","n"
3,1,"e",5,0,1
3,1,"i",5,2,3
3,1,"o",5,1,4
3,1,"u",5,1,5
3,1,"e",8,0,2
3,1,"i",8,1,1
3,1,"o",8,0,2
3,1,"u",8,0,2
3,1,"e",11,0,1
3,1,"i",11,5,7
3,1,"o",11,1,2
3,1,"u",11,1,4
3,1,"e",14,0,2
3,1,"i",14,4,4
3,1,"o",14,2,4
3,1,"u",14,1,1
3,1,"e",17,2,4
3,1,"i",17,1,1
3,1,"o",17,1,2
3,1,"u",17,0,4
3,1,"e",20,3,3
3,1,"i",20,2,3
3,1,"o",20,0,3
3,1,"u",20,4,4
3,1,"e",23,1,1
3,1,"i",23,1,1
3,1,"o",23,2,2
3,1,"u",23,2,4
5,2,"e",5,2,2
5,2,"i",5,2,2
5,2,"o",5,0,2
5,2,"u",5,0,1
5,2,"e",8,1,1
5,2,"i",8,1,3
5,2,"o",8,1,2
5,2,"e",11,0,2
5,2,"i",11,0,1
5,2,"o",11,0,2
5,2,"u",11,1,2
5,2,"i",14,2,2
5,2,"o",14,1,1
5,2,"u",14,0,1
5,2,"e",17,5,5
5,2,"i",17,1,1
5,2,"o",17,2,3
5,2,"u",17,2,4
5,2,"e",20,1,2
5,2,"i",20,2,2
5,2,"o",20,0,3
5,2,"u",20,1,1
5,2,"i",23,2,2
5,2,"o",23,1,3
5,2,"u",23,0,2
6,3,"i",5,2,3
6,3,"o",5,0,3
6,3,"u",5,2,3
6,3,"e",8,1,4
6,3,"i",8,1,4
6,3,"o",8,1,3
6,3,"u",8,0,2
6,3,"e",11,0,1
6,3,"i",11,1,4
6,3,"o",11,0,2
6,3,"e",14,5,5
6,3,"i",14,3,3
6,3,"o",14,1,2
6,3,"u",14,2,2
6,3,"e",17,2,3
6,3,"u",17,1,1
6,3,"i",20,2,2
6,3,"o",20,1,1
6,3,"u",20,3,4
6,3,"e",23,5,5
6,3,"i",23,1,1
6,3,"o",23,2,2
6,3,"u",23,3,4
7,4,"e",5,0,3
7,4,"i",5,0,3
7,4,"o",5,0,2
7,4,"u",5,1,3
7,4,"e",8,1,5
7,4,"i",8,0,2
7,4,"o",8,4,4
7,4,"e",11,0,3
7,4,"i",11,1,4
7,4,"o",11,5,7
7,4,"u",11,3,3
7,4,"i",14,2,2
7,4,"o",14,1,1
7,4,"u",14,3,4
7,4,"e",17,1,2
7,4,"i",17,3,3
7,4,"o",17,3,3
7,4,"e",20,4,4
7,4,"i",20,3,3
7,4,"o",20,6,6
7,4,"u",20,3,3
7,4,"e",23,3,3
7,4,"i",23,1,1
7,4,"o",23,3,3
7,4,"u",23,2,2
8,5,"e",5,2,6
8,5,"i",5,1,9
8,5,"o",5,0,4
8,5,"u",5,6,7
8,5,"e",8,4,4
8,5,"i",8,1,7
8,5,"o",8,5,6
8,5,"u",8,2,5
8,5,"e",11,5,5
8,5,"i",11,1,5
8,5,"o",11,2,2
8,5,"u",11,1,2
8,5,"e",14,10,10
8,5,"i",14,5,5
8,5,"o",14,3,4
8,5,"u",14,5,5
8,5,"e",17,6,6
8,5,"i",17,6,6
8,5,"o",17,9,9
8,5,"u",17,2,2
8,5,"e",20,1,1
8,5,"i",20,5,5
8,5,"o",20,2,5
8,5,"u",20,4,5
8,5,"e",23,8,8
8,5,"i",23,3,4
8,5,"u",23,2,2
9,6,"e",5,1,2
9,6,"i",5,0,1
9,6,"o",5,1,1
9,6,"u",5,0,3
9,6,"e",8,1,3
9,6,"i",8,2,3
9,6,"o",8,1,3
9,6,"u",8,0,1
9,6,"e",11,0,1
9,6,"i",11,0,2
9,6,"o",11,0,1
9,6,"u",11,0,1
9,6,"e",14,2,2
9,6,"i",14,2,2
9,6,"o",17,1,1
9,6,"u",17,0,1
9,6,"i",20,3,3
9,6,"o",20,0,1
9,6,"e",23,6,6
9,6,"i",23,2,2
9,6,"u",23,1,1
11,7,"e",5,3,3
11,7,"i",5,0,3
11,7,"o",5,3,4
11,7,"u",5,0,1
11,7,"e",8,4,5
11,7,"i",8,0,2
11,7,"u",8,0,2
11,7,"e",11,1,3
11,7,"i",11,0,3
11,7,"o",11,1,2
11,7,"u",11,0,5
11,7,"i",14,1,4
11,7,"o",14,3,4
11,7,"u",14,1,2
11,7,"e",17,1,4
11,7,"i",17,3,3
11,7,"o",17,2,2
11,7,"u",17,2,4
11,7,"e",20,1,2
11,7,"i",20,2,2
11,7,"o",20,1,1
11,7,"u",20,3,3
11,7,"e",23,5,5
11,7,"i",23,6,6
11,7,"o",23,2,2
11,7,"u",23,2,2
13,8,"e",5,6,8
13,8,"i",5,4,7
13,8,"o",5,0,6
13,8,"u",5,2,3
13,8,"e",8,4,4
13,8,"i",8,5,6
13,8,"o",8,3,5
13,8,"u",8,0,5
13,8,"e",11,7,7
13,8,"i",11,3,3
13,8,"o",11,1,1
13,8,"u",11,3,7
13,8,"e",14,6,6
13,8,"i",14,2,2
13,8,"o",14,4,5
13,8,"u",14,2,3
13,8,"e",17,5,5
13,8,"i",17,7,8
13,8,"o",17,3,3
13,8,"u",17,3,4
13,8,"e",20,6,6
13,8,"i",20,3,3
13,8,"o",20,1,1
13,8,"u",20,7,7
13,8,"e",23,7,7
13,8,"i",23,4,5
13,8,"o",23,5,5
13,8,"u",23,6,6
15,9,"e",8,0,1
15,9,"i",8,0,3
15,9,"u",8,0,3
15,9,"e",11,2,2
15,9,"i",11,0,2
15,9,"o",11,2,3
15,9,"u",11,0,3
15,9,"e",14,1,1
15,9,"i",14,2,2
15,9,"o",14,1,1
15,9,"u",14,2,2
15,9,"e",17,1,1
15,9,"i",17,1,1
15,9,"o",17,0,1
15,9,"u",17,0,3
15,9,"e",20,2,2
15,9,"i",20,1,1
15,9,"o",20,1,1
15,9,"u",20,1,2
15,9,"e",23,1,1
15,9,"i",23,2,2
15,9,"o",23,1,1
15,9,"u",23,4,5
