"participant","group","group_id","vowel","intensity","k","n"
"1m47if4x",11,7,"e",5,1,3
"1m47if4x",11,7,"e",8,3,5
"1m47if4x",11,7,"e",11,1,3
"1m47if4x",11,7,"e",17,3,4
"1m47if4x",11,7,"e",20,2,2
"1m47if4x",11,7,"e",23,3,5
"1m47if4x",11,7,"i",5,0,3
"1m47if4x",11,7,"i",8,0,2
"1m47if4x",11,7,"i",11,0,3
"1m47if4x",11,7,"i",14,3,4
"1m47if4x",11,7,"i",17,3,3
"1m47if4x",11,7,"i",20,1,2
"1m47if4x",11,7,"i",23,5,6
"1m47if4x",11,7,"o",5,1,4
"1m47if4x",11,7,"o",11,2,2
"1m47if4x",11,7,"o",14,3,4
"1m47if4x",11,7,"o",17,2,2
"1m47if4x",11,7,"o",20,0,1
"1m47if4x",11,7,"o",23,2,2
"1m47if4x",11,7,"u",5,0,1
"1m47if4x",11,7,"u",8,0,2
"1m47if4x",11,7,"u",11,1,5
"1m47if4x",11,7,"u",14,2,2
"1m47if4x",11,7,"u",17,3,4
"1m47if4x",11,7,"u",20,3,3
"1m47if4x",11,7,"u",23,2,2
"2sraso81",7,4,"e",5,0,3
"2sraso81",7,4,"e",8,1,5
"2sraso81",7,4,"e",11,0,3
"2sraso81",7,4,"e",17,1,2
"2sraso81",7,4,"e",20,4,4
"2sraso81",7,4,"e",23,3,3
"2sraso81",7,4,"i",5,0,3
"2sraso81",7,4,"i",8,0,2
"2sraso81",7,4,"i",11,1,4
"2sraso81",7,4,"i",14,2,2
"2sraso81",7,4,"i",17,3,3
"2sraso81",7,4,"i",20,3,3
"2sraso81",7,4,"i",23,1,1
"2sraso81",7,4,"o",5,0,2
"2sraso81",7,4,"o",8,4,4
"2sraso81",7,4,"o",11,5,7
"2sraso81",7,4,"o",14,1,1
"2sraso81",7,4,"o",17,3,3
"2sraso81",7,4,"o",20,6,6
"2sraso81",7,4,"o",23,3,3
"2sraso81",7,4,"u",5,1,3
"2sraso81",7,4,"u",11,3,3
"2sraso81",7,4,"u",14,3,4
"2sraso81",7,4,"u",20,3,3
"2sraso81",7,4,"u",23,2,2
"2yx71as8",9,6,"e",5,1,2
"2yx71as8",9,6,"e",8,1,3
"2yx71as8",9,6,"e",11,0,1
"2yx71as8",9,6,"e",14,2,2
"2yx71as8",9,6,"e",23,5,6
"2yx71as8",9,6,"i",5,1,1
"2yx71as8",9,6,"i",8,0,3
"2yx71as8",9,6,"i",11,0,2
"2yx71as8",9,6,"i",14,1,2
"2yx71as8",9,6,"i",20,2,3
"2yx71as8",9,6,"i",23,1,2
"2yx71as8",9,6,"o",5,0,1
"2yx71as8",9,6,"o",8,2,3
"2yx71as8",9,6,"o",11,0,1
"2yx71as8",9,6,"o",17,0,1
"2yx71as8",9,6,"o",20,0,1
"2yx71as8",9,6,"u",5,0,3
"2yx71as8",9,6,"u",8,0,1
"2yx71as8",9,6,"u",11,0,1
"2yx71as8",9,6,"u",17,0,1
"2yx71as8",9,6,"u",23,0,1
"33dpxebl",5,2,"e",5,2,2
"33dpxebl",5,2,"e",8,1,1
"33dpxebl",5,2,"e",11,0,2
"33dpxebl",5,2,"e",17,5,5
"33dpxebl",5,2,"e",20,1,2
"33dpxebl",5,2,"i",5,2,2
"33dpxebl",5,2,"i",8,1,3
"33dpxebl",5,2,"i",11,0,1
"33dpxebl",5,2,"i",14,2,2
"33dpxebl",5,2,"i",17,1,1
"33dpxebl",5,2,"i",20,2,2
"33dpxebl",5,2,"i",23,2,2
"33dpxebl",5,2,"o",5,0,2
"33dpxebl",5,2,"o",8,1,2
"33dpxebl",5,2,"o",11,0,2
"33dpxebl",5,2,"o",14,1,1
"33dpxebl",5,2,"o",17,2,3
"33dpxebl",5,2,"o",20,0,3
"33dpxebl",5,2,"o",23,1,3
"33dpxebl",5,2,"u",5,0,1
"33dpxebl",5,2,"u",11,1,2
"33dpxebl",5,2,"u",14,0,1
"33dpxebl",5,2,"u",17,2,4
"33dpxebl",5,2,"u",20,1,1
"33dpxebl",5,2,"u",23,0,2
"4xuid5g2",13,8,"e",5,6,8
"4xuid5g2",13,8,"e",8,4,4
"4xuid5g2",13,8,"e",11,7,7
"4xuid5g2",13,8,"e",14,6,6
"4xuid5g2",13,8,"e",17,5,5
"4xuid5g2",13,8,"e",20,6,6
"4xuid5g2",13,8,"e",23,7,7
"4xuid5g2",13,8,"i",5,4,7
"4xuid5g2",13,8,"i",8,5,6
"4xuid5g2",13,8,"i",11,3,3
"4xuid5g2",13,8,"i",14,2,2
"4xuid5g2",13,8,"i",17,7,8
"4xuid5g2",13,8,"i",20,3,3
"4xuid5g2",13,8,"i",23,4,5
"4xuid5g2",13,8,"o",5,0,6
"4xuid5g2",13,8,"o",8,3,5
"4xuid5g2",13,8,"o",11,1,1
"4xuid5g2",13,8,"o",14,4,5
"4xuid5g2",13,8,"o",17,3,3
"4xuid5g2",13,8,"o",20,1,1
"4xuid5g2",13,8,"o",23,5,5
"4xuid5g2",13,8,"u",5,2,3
"4xuid5g2",13,8,"u",8,0,5
"4xuid5g2",13,8,"u",11,3,7
"4xuid5g2",13,8,"u",14,2,3
"4xuid5g2",13,8,"u",17,3,4
"4xuid5g2",13,8,"u",20,7,7
"4xuid5g2",13,8,"u",23,6,6
"i73tumgv",3,1,"e",5,0,1
"i73tumgv",3,1,"e",8,0,2
"i73tumgv",3,1,"e",11,0,1
"i73tumgv",3,1,"e",14,0,2
"i73tumgv",3,1,"e",17,2,4
"i73tumgv",3,1,"e",20,3,3
"i73tumgv",3,1,"e",23,1,1
"i73tumgv",3,1,"i",5,2,3
"i73tumgv",3,1,"i",8,1,1
"i73tumgv",3,1,"i",11,5,7
"i73tumgv",3,1,"i",14,4,4
"i73tumgv",3,1,"i",17,1,1
"i73tumgv",3,1,"i",20,2,3
"i73tumgv",3,1,"i",23,1,1
"i73tumgv",3,1,"o",5,1,4
"i73tumgv",3,1,"o",8,0,2
"i73tumgv",3,1,"o",11,1,2
"i73tumgv",3,1,"o",14,2,4
"i73tumgv",3,1,"o",17,1,2
"i73tumgv",3,1,"o",20,0,3
"i73tumgv",3,1,"o",23,2,2
"i73tumgv",3,1,"u",5,1,5
"i73tumgv",3,1,"u",8,0,2
"i73tumgv",3,1,"u",11,1,4
"i73tumgv",3,1,"u",14,1,1
"i73tumgv",3,1,"u",17,0,4
"i73tumgv",3,1,"u",20,4,4
"i73tumgv",3,1,"u",23,2,4
"jetfb5kc",7,4,"e",5,0,3
"jetfb5kc",7,4,"e",8,0,5
"jetfb5kc",7,4,"e",11,0,3
"jetfb5kc",7,4,"e",17,1,2
"jetfb5kc",7,4,"e",20,3,4
"jetfb5kc",7,4,"e",23,3,3
"jetfb5kc",7,4,"i",5,2,3
"jetfb5kc",7,4,"i",8,1,2
"jetfb5kc",7,4,"i",11,2,4
"jetfb5kc",7,4,"i",14,2,2
"jetfb5kc",7,4,"i",17,3,3
"jetfb5kc",7,4,"i",20,3,3
"jetfb5kc",7,4,"i",23,1,1
"jetfb5kc",7,4,"o",5,0,2
"jetfb5kc",7,4,"o",8,1,4
"jetfb5kc",7,4,"o",11,3,7
"jetfb5kc",7,4,"o",14,0,1
"jetfb5kc",7,4,"o",17,0,3
"jetfb5kc",7,4,"o",20,1,6
"jetfb5kc",7,4,"o",23,1,3
"jetfb5kc",7,4,"u",5,3,3
"jetfb5kc",7,4,"u",11,2,3
"jetfb5kc",7,4,"u",14,4,4
"jetfb5kc",7,4,"u",20,3,3
"jetfb5kc",7,4,"u",23,2,2
"m8wsq93c",15,9,"e",8,0,1
"m8wsq93c",15,9,"e",11,2,2
"m8wsq93c",15,9,"e",14,1,1
"m8wsq93c",15,9,"e",17,1,1
"m8wsq93c",15,9,"e",20,2,2
"m8wsq93c",15,9,"e",23,1,1
"m8wsq93c",15,9,"i",8,0,3
"m8wsq93c",15,9,"i",11,0,2
"m8wsq93c",15,9,"i",14,2,2
"m8wsq93c",15,9,"i",17,1,1
"m8wsq93c",15,9,"i",20,1,1
"m8wsq93c",15,9,"i",23,2,2
"m8wsq93c",15,9,"o",11,2,3
"m8wsq93c",15,9,"o",14,1,1
"m8wsq93c",15,9,"o",17,0,1
"m8wsq93c",15,9,"o",20,1,1
"m8wsq93c",15,9,"o",23,1,1
"m8wsq93c",15,9,"u",8,0,3
"m8wsq93c",15,9,"u",11,0,3
"m8wsq93c",15,9,"u",14,2,2
"m8wsq93c",15,9,"u",17,0,3
"m8wsq93c",15,9,"u",20,1,2
"m8wsq93c",15,9,"u",23,4,5
"n0vv44n2",13,8,"e",5,5,8
