"","local_alignment_confidence","local_alignment_all","global_alignment_confidence","self_l","align_l","synergy_l","self_entr","align_entr","synergy_entr","type_diff","cosine_word_set"
"local_alignment_confidence",1,0.0634617131381357,0.661434978684703,0.193623518007738,-0.281576781939198,-0.116778304111138,-0.148854820496365,-0.220843346587851,-0.203955766137237,0.887760771729501,-0.227784762319413
"local_alignment_all",0.0634617131381357,1,0.0247087649018355,-0.26471196612052,0.409586572798328,-0.126977529610678,0.0872249491247014,0.362309484117456,0.176634887362649,0.0888418870335748,0.496503753285319
"global_alignment_confidence",0.661434978684703,0.0247087649018355,1,-0.355786650498908,-0.34284442866244,-0.500184295496264,-0.253100730247598,-0.353438437420609,-0.33249240491166,0.712869684079985,-0.16373475193529
"self_l",0.193623518007738,-0.26471196612052,-0.355786650498908,1,0.357095473255955,0.909450115319156,0.475935972261524,0.449138408509947,0.517874754952365,0.172915384611622,-0.424112381611805
"align_l",-0.281576781939198,0.409586572798328,-0.34284442866244,0.357095473255955,1,0.663856254647197,0.918584324206918,0.99222036940786,0.960439045592142,-0.276202249683113,0.350397487626707
"synergy_l",-0.116778304111138,-0.126977529610678,-0.500184295496264,0.909450115319156,0.663856254647197,1,0.721520189783319,0.722230127451407,0.776364329097398,-0.096676482064674,-0.261188927733046
"self_entr",-0.148854820496365,0.0872249491247014,-0.253100730247598,0.475935972261524,0.918584324206918,0.721520189783319,1,0.934185586387527,0.983608662531172,-0.228227304381802,0.222197091745336
"align_entr",-0.220843346587851,0.362309484117456,-0.353438437420609,0.449138408509947,0.99222036940786,0.722230127451407,0.934185586387527,1,0.976645383699254,-0.231851237411562,0.332979264824864
"synergy_entr",-0.203955766137237,0.176634887362649,-0.33249240491166,0.517874754952365,0.960439045592142,0.776364329097398,0.983608662531172,0.976645383699254,1,-0.247418425653191,0.236202672221235
"type_diff",0.887760771729501,0.0888418870335748,0.712869684079985,0.172915384611622,-0.276202249683113,-0.096676482064674,-0.228227304381802,-0.231851237411562,-0.247418425653191,1,-0.394083752508979
"cosine_word_set",-0.227784762319413,0.496503753285319,-0.16373475193529,-0.424112381611805,0.350397487626707,-0.261188927733046,0.222197091745336,0.332979264824864,0.236202672221235,-0.394083752508979,1
