participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.answer,player.correct_individual,player.payoff,group.id_in_subsession,group.consensus,group.ready,group.correct_consensus,group.stimulus,group.vowel,group.intensity,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,e,0,0,1,,,0,i30.wav,i,30,1,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,e,0,0,1,,,0,i30.wav,i,30,1,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,i,1,0,1,,,0,i50.wav,i,50,2,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,i,1,0,1,,,0,i50.wav,i,50,2,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,3,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,3,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,4,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,4,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,5,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,5,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,6,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,6,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,7,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,7,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,8,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,8,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,9,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,9,nl7j33vo,,,,,,0
1,9z7vsrxl,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.265092+00:00,0,1,,,1,,,0,1,,,,,,,10,nl7j33vo,,,,,,0
2,9mlmufps,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 16:47:30.676188+00:00,0,1,,,2,,,0,1,,,,,,,10,nl7j33vo,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,1,0,1,,,0,o40.wav,o,40,1,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,o,1,0,1,,,0,o40.wav,o,40,1,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,e,1,0,1,a,Ready,0,e20.wav,e,20,2,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,o,0,0,1,a,Ready,0,e20.wav,e,20,2,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,e,0,0,1,e,Ready,0,u0.wav,u,0,3,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,o,0,0,1,e,Ready,0,u0.wav,u,0,3,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,0,0,1,o,Ready,0,e20.wav,e,20,4,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,e,1,0,1,o,Ready,0,e20.wav,e,20,4,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,0,0,1,a,Ready,1,a30.wav,a,30,5,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,a,1,0,1,a,Ready,1,a30.wav,a,30,5,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,1,0,1,,,0,o30.wav,o,30,6,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,o,1,0,1,,,0,o30.wav,o,30,6,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,i,1,0,1,i,Ready,1,i40.wav,i,40,7,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,e,0,0,1,i,Ready,1,i40.wav,i,40,7,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,0,0,1,i,Ready,0,e40.wav,e,40,8,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,u,0,0,1,i,Ready,0,e40.wav,e,40,8,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,a,1,0,1,,,0,a40.wav,a,40,9,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,a,1,0,1,,,0,a40.wav,a,40,9,z9s2pz6r,,,,,,0
1,w01c1vhl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.598994+00:00,0,1,,,1,o,0,0,1,o,Ready,0,i40.wav,i,40,10,z9s2pz6r,,,,,,0
2,0msm7yvl,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 16:52:44.759108+00:00,0,1,,,2,i,1,0,1,o,Ready,0,i40.wav,i,40,10,z9s2pz6r,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,a,1,0,1,,,0,a30.wav,a,30,1,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,a,1,0,1,,,0,a30.wav,a,30,1,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,i,1,0,1,,,0,i30.wav,i,30,2,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,i,1,0,1,,,0,i30.wav,i,30,2,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,u,1,0,1,,,0,u30.wav,u,30,3,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,u,1,0,1,,,0,u30.wav,u,30,3,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,4,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,4,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,5,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,5,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,6,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,6,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,7,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,7,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,8,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,8,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,9,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,9,wx3d6y40,,,,,,0
1,k0kz9124,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.753980+00:00,0,1,,,1,,,0,1,,,,,,,10,wx3d6y40,,,,,,0
2,n4y75cg0,,0,21,70,confidence_audio,3,Feedback,127.0.0.1,2017-04-02 17:39:22.849054+00:00,0,1,,,2,,,0,1,,,,,,,10,wx3d6y40,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,o,1,0,1,,,0,o20.wav,o,20,1,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,o,1,0,1,,,0,o20.wav,o,20,1,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,u,0,0,1,,,0,e20.wav,e,20,2,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,u,0,0,1,,,0,e20.wav,e,20,2,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,i,1,0,1,e,Ready,0,i20.wav,i,20,3,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,u,0,0,1,e,Ready,0,i20.wav,i,20,3,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,u,0,0,1,,,0,e20.wav,e,20,4,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,u,0,0,1,,,0,e20.wav,e,20,4,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,o,0,0,1,,,0,e20.wav,e,20,5,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,o,0,0,1,,,0,e20.wav,e,20,5,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,o,0,0,1,,,0,e20.wav,e,20,6,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,o,0,0,1,,,0,e20.wav,e,20,6,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,a,1,0,1,,,0,a20.wav,a,20,7,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,a,1,0,1,,,0,a20.wav,a,20,7,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,,,0,1,,,,u5.wav,u,5,8,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,,,0,1,,,,u5.wav,u,5,8,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,,,0,1,,,,,,,9,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,,,0,1,,,,,,,9,28jp3pef,,,,,,0
1,dk6qcx6i,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.603115+00:00,0,1,,,1,,,0,1,,,,,,,10,28jp3pef,,,,,,0
2,7ti656g2,,0,52,70,confidence_audio,8,GetStim,127.0.0.1,2017-04-02 17:42:14.649665+00:00,0,1,,,2,,,0,1,,,,,,,10,28jp3pef,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,u,0,0,1,,,0,o0.wav,o,0,1,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,u,0,0,1,,,0,o0.wav,o,0,1,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,u,0,0,1,,,0,i0.wav,i,0,2,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,u,0,0,1,,,0,i0.wav,i,0,2,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,o,1,0,1,,,0,o0.wav,o,0,3,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,o,1,0,1,,,0,o0.wav,o,0,3,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,a,1,0,1,,,0,a20.wav,a,20,4,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,a,1,0,1,,,0,a20.wav,a,20,4,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,u,1,0,1,,,0,u0.wav,u,0,5,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,u,1,0,1,,,0,u0.wav,u,0,5,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,u,0,0,1,i,Ready,0,e15.wav,e,15,6,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,o,0,0,1,i,Ready,0,e15.wav,e,15,6,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,a,1,0,1,,,0,a10.wav,a,10,7,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,a,1,0,1,,,0,a10.wav,a,10,7,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,e,0,0,1,,,0,u10.wav,u,10,8,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,e,0,0,1,,,0,u10.wav,u,10,8,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,o,0,0,1,,,0,a5.wav,a,5,9,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,o,0,0,1,,,0,a5.wav,a,5,9,deatqzsi,,,,,,0
1,44quk6jh,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.658747+00:00,0,1,,,1,u,1,0,1,,,0,u20.wav,u,20,10,deatqzsi,,,,,,0
2,ags48bdm,,0,71,70,confidence_audio,10,Feedback,127.0.0.1,2017-04-02 17:47:28.781586+00:00,0,1,,,2,u,1,0,1,,,0,u20.wav,u,20,10,deatqzsi,,,,,,0
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,1,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,1,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,2,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,2,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,3,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,3,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,4,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,4,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,5,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,5,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,6,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,6,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,7,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,7,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,8,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,8,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,9,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,9,plxue369,,,,,,1
1,igbvpi2r,,0,0,70,,,,,,0,0,,,1,,,0,1,,,,,,,10,plxue369,,,,,,1
2,2v6pv6cg,,0,0,70,,,,,,0,0,,,2,,,0,1,,,,,,,10,plxue369,,,,,,1
1,os31kpej,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 19:20:21.850168+00:00,0,1,,,1,a,0,0,1,,,0,e25.wav,e,25,1,y0uncjos,,,,,,0
2,mh2zxdz5,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 19:20:21.977258+00:00,0,1,,,2,a,0,0,1,,,0,e25.wav,e,25,1,y0uncjos,,,,,,0
1,os31kpej,,0,14,70,confidence_audio,2,Feedback,127.0.0.1,2017-04-02 19:20:21.850168+00:00,0,1,,,1,i,1,0,1,e,Ready,0,i20.wav,i,20,2,y0uncjos,,,,,,0
